Index;  Namespace;  Name;        Regs;  Returns;    Params;                                                                     Desc
0;      thread;     yield_time;  N;     ;           ;                                                                           Yield to other threads.
1;      thread;     sleep;       N;     ;           delay: u64;                                                                 Sleep for a certain microsecond time.
2;      thread;     create;      N;     TID;        entry: VAddr, arg: VAddr, priority: u32;                                    Create and start a new thread.
3;      thread;     detach;      N;     ;           thread_id: TID;                                                             Detach a thread; the thread will be destroyed as soon as it exits.
4;      thread;     join;        N;     ;           thread_id: TID;                                                             Wait for a thread to stop and return its exit code.
5;      thread;     exit;        N;     ;           code: int;                                                                  Exit the current thread; exit code can be read unless destroyed or detached.
6;      proc;       exit;        N;     ;           code: int;                                                                  Exit the process; exit code can be read by parent process.
7;      proc;       fork;        Y;     PID;        ;                                                                           Create a copy of the running process and return its PID (to the parent) or -1 (to the child).
8;      proc;       exec;        N;     ;           path: Path, argv: CStrArr, envp: CStrArr;                                   Execute the program at `path`, replacing the calling program's code and data in the process.
9;      proc;       sigaction;   N;     ;           signum: int, newhandler: *?Sigaction, oldhandler: *?mut Sigaction;          Set the signal handler for a specific signal number.
10;     proc;       sigret;      Y;     ;           ;                                                                           Return from a signal handler.
11;     proc;       waitpid;     N;     PID;        pid: PID, wstatus: *?mut int, options: int;                                 Get child process status update.
12;     fs;         open;        N;     int;        at: int, path: Path, oflags: int;                                           Open a file, optionally relative to a directory.
13;     fs;         close;       N;     ;           fd: int;                                                                    Flush and close a file.
14;     fs;         read;        N;     usize;      fd: int, read_buf: []mut u8;                                                Read bytes from a file.
15;     fs;         write;       N;     usize;      fd: int, write_buf: []u8;                                                   Write bytes to a file.
16;     fs;         getdents;    N;     usize;      fd: int, read_buf: []mut u8;                                                Read directory entries from a directory handle.\nSee `dirent_t` for the format.
17;     fs;         rename;      N;     ;           old_at: int, old_path: Path, new_at: int, new_path: Path, flags: u32;       Rename and/or move a file to another path, optionally relative to one or two directories.
18;     fs;         stat;        N;     ;           fd: int, path: Path, follow_link: bool, stat_out: *mut Stat;                Get file status given file handler or path, optionally following the final symlink.\nIf `path` is specified, it is interpreted as relative to the working directory.\nIf both `path` and `fd` are specified, `path` is relative to the directory that `fd` describes.\nIf only `fd` is specified, the inode referenced by `fd` is stat'ed.\nIf `follow_link` is false, the last symlink in the path is not followed.
19;     fs;         mkdir;       N;     ;           at: int, path: Path;                                                        Create a new directory.
20;     fs;         rmdir;       N;     ;           at: int, path: Path;                                                        Delete a directory if it is empty.
21;     fs;         link;        N;     ;           old_at: int, old_path: Path, new_at: int, new_path: Path, flags: u32;       Create a new link to an existing inode.
22;     fs;         unlink;      N;     ;           at: int, path: Path;                                                        Remove a link to an inode. If it is the last link, the file is deleted.
23;     fs;         mkfifo;      N;     ;           at: int, path: Path;                                                        Create a new FIFO / named pipe.
24;     fs;         pipe;        N;     ;           fds: [2]mut int, flags: int;                                                Create a new pipe.\n`fds[0]` will be written with the pointer to the read end, `fds[1]` the write end.
25;     fs;         seek;        N;     u64;        fd: int, offset: i64, whence: int;                                          Change position in file.
26;     mem;        map;         N;     VAddr;      address: VAddr, size: usize, prot: int, flags: int, fd: int, offset: i64;   Map a new range of memory at an arbitrary virtual address.\nThis may round up to a multiple of the page size.\nAlignment may be less than `align` if the kernel doesn't support it.
27;     mem;        unmap;       N;     ;           address: VAddr, size: usize;                                                Unmap a range of memory previously allocated with `SYSCALL_MEM_MAP`.
28;     mem;        protect;     N;     ;           address: VAddr, size: usize, prot: int;                                     Change the protection flags on a range of memory.\nMay fail if the process does not have write access to mapped objects.
29;     sys;        log;         N;     ;           message: []char;                                                            Write to the system log.
30;     time;       gettime;     N;     ;           clkid: int, time: *mut Timespec;                                            Get the value of some clock.
31;     thread;     kill;        N;     ;           thread_id: TID, signum: int;                                                Send a signal to a thread in this process.
32;     proc;       kill;        N;     ;           pid: PID, signum: int;                                                      Send a signal to an arbitrary thread in a specified process. See man kill(2).
33;     proc;       getid;       N;     i64;        getid_type: int;                                                            Get an ID as specified by _GETID_* macros.
34;     fs;         symlink;     N;     ;           link_target: Path, at: int, path: Path;                                     Create a new directory.
35;     fs;         dup;         N;     int;        fd: int, flags: int, newfd: int;                                            Duplicate a file descriptor.\nIf `newfd` is `-1`, an arbitrary descriptor number is selected.
36;     thread;     sigmask;     N;     ;           how: int, set: *?Sigset, oldset: *?mut Sigset;                              Modify the signal mask for this thread.
37;     sys;        uname;       N;     ;           name: *mut UTSName;                                                         Get system information.
38;     fs;         isatty;      N;     ;           fd: int;                                                                    Succeed if `fd` is a TTY, fail otherwise.
39;     fs;         tcgetattr;   N;     ;           fd: int, attr: *mut Termios;                                                Get TTY attributes.
40;     fs;         tcsetattr;   N;     ;           fd: int, attr: *Termios;                                                    Set TTY attributes.
41;     fs;         getcwd;      N;     ;           buf: []mut char;                                                            Get the absolute path path of the current working directory.\nMay be outdated if the directory was moved.
42;     fs;         chdir;       N;     ;           at: int, path: Path;                                                        Change the working directory.\nSince setting both `at` and `path` is non-standard, it is currently unsupported.
43;     fs;         getfd;       N;     int;        fd: int;                                                                    Get file descriptor flags.
44;     fs;         setfd;       N;     ;           fd: int, flags: int;                                                        Set file descriptor flags.
45;     fs;         getfl;       N;     int;        fd: int;                                                                    Get file status flags.
46;     fs;         setfl;       N;     ;           fd: int, flags: int;                                                        Set file status flags.
