Table;      Result; C;                      Rust
TID;        ;       tid_t;                  TID
PID;        ;       pid_t;                  PID
usize;      isize;  __mlibc_size;           usize
isize;      ;       __mlibc_ptrdiff;        isize
VAddr;      isize;  void *;                 usize
bool;       i32;    bool;                   bool
char;       i32;    char;                   u8
ushort;     short;  unsigned short;         c_ushort
short;      ;       short;                  c_short
uint;       int;    unsigned int;           c_uint
int;        ;       int;                    c_int
ulong;      long;   unsigned long;          c_ulong
long;       ;       long;                   c_long
ullong;     llong;  unsigned long long;     c_ullong
llong;      ;       long long;              c_llong
u8;         i32;    __mlibc_uint8;          u8
i8;         i32;    __mlibc_int8;           i8
u16;        i32;    __mlibc_uint16;         u16
i16;        i32;    __mlibc_int16;          i16
u32;        i32;    __mlibc_uint32;         u32
i32;        ;       __mlibc_int32;          i32
u64;        i64;    __mlibc_uint64;         u64
i64;        ;       __mlibc_int64;          i64
UTSName;    ;       struct utsname;         utsname
Stat;       ;       struct stat;            stat
Timespec;   ;       struct timespec;        timespec
Sigaction;  ;       struct sigaction;       sigaction
Sigset;     ;       sigset_t;               sigset_t
Termios;    ;       struct termios;         termios
Path;       ;       char const *;           *const u8
CStr;       ;       char const *;           *const u8
CStrArr;    ;       char const *const *;    *const *const u8
